試合数,日付,対戦相手,W/L,得点,失点,ゲーム差,試合時間,観客数,連勝（連敗）,打席数,ヒット数,二塁打数,三塁打数,ホームラン数,打点
1,3月20日,パドレス,W,5,2,up 0.5,3:05,15952,+,33,7,0,0,0,4
2,3月21日,パドレス,L,11,15,Tied,3:42,15928,-,42,16,3,0,1,11
3,3月28日,カージナルス,W,7,1,Tied,2:23,52667,+,31,10,2,0,2,7
4,3月29日,カージナルス,W,6,3,Tied,2:23,47524,++,30,7,1,0,4,6
5,3月30日,カージナルス,L,5,6,Tied,3:17,45019,-,43,14,1,0,1,5
6,3月31日,カージナルス,W,5,4,Tied,2:41,41014,+,30,8,2,0,2,5
7,4月1日,ジャイアンツ,W,8,3,up 1.0,2:38,49044,++,32,9,3,1,1,8
8,4月2日,ジャイアンツ,W,5,4,up 1.0,2:57,49365,+++,32,9,3,0,1,5
9,4月3日,ジャイアンツ,W,5,4,up 2.0,2:25,52746,++++,30,9,1,0,2,5
10,4月5日,カブス,L,7,9,up 2.0,2:57,34981,-,39,12,3,0,1,7
11,4月6日,カブス,W,4,1,up 3.0,2:45,41040,+,36,9,1,0,0,3
12,4月7日,カブス,L,1,8,up 3.0,2:32,38322,-,31,4,1,1,0,1
13,4月8日,ツインズ,W,4,2,up 3.0,2:15,15177,+,35,10,2,0,2,4
14,4月9日,ツインズ,W,6,3,up 4.0,2:23,17024,++,35,9,1,0,2,6
15,4月10日,ツインズ,L,2,3,up 3.0,2:31,18640,-,34,9,2,0,1,2
16,4月12日,パドレス,L,7,8,up 2.0,3:14,49606,--,42,7,2,0,4,7
17,4月13日,パドレス,W,5,2,up 3.0,2:36,44582,+,31,8,0,0,0,5
18,4月14日,パドレス,L,3,6,up 2.0,2:58,49432,-,32,6,1,0,1,3
19,4月15日,ナショナルズ,L,4,6,up 1.0,2:36,42677,--,34,9,2,0,0,4
20,4月16日,ナショナルズ,W,6,2,up 1.0,2:26,52718,+,34,13,3,0,1,5
21,4月17日,ナショナルズ,L,0,2,up 1.0,2:16,44428,-,31,5,2,0,0,0
22,4月19日,メッツ,L,4,9,up 1.0,3:03,44783,--,34,6,2,0,0,4
23,4月20日,メッツ,L,4,6,up 1.0,3:20,45373,---,31,6,2,0,0,4
