No,Date en,Date,チーム,Opp,対戦相手,W/L,得点,失点,イニング,ゲーム差,勝投手,負投手,セーブ,試合時間,観客数,連勝（連敗）,打席数,ヒット数,二塁打数,三塁打数,ホームラン数,打点,,GAME,Name,OPP,SCORE,打席数,ヒット,2塁打,３塁打,ホームラン,打点,四球,デッドボール,三振,盗塁,盗塁失敗,打順,第1,第2,第3,第4,第5,第6,第7
1,"Wednesday, Mar 20",3月20日,LAD,San Diego Padres@SDW,パドレス,W,5,2,,up 0.5,Hudson,Brito,Phillips,3:05,"15,952",+,33,7,0,0,0,4,,3月20日,Ohtani,SDPSDP,W,5,2,0,0,0,1,0,0,0,1,0,2指,遊ゴ,右安,三ゴ,投ゴ,左安,,
2,"Thursday, Mar 21",3月21日,LAD,San Diego PadresSDL,パドレス,L,11,15,,Tied,King,Yamamoto,Suarez,3:42,"15,928",-,42,16,3,0,1,11,,3月21日,Ohtani,SDPSDP,L,5,1,0,0,0,1,0,0,0,0,0,2指,右安,右犠,投ゴ,右直,右飛,一ゴ,
3,"Thursday, Mar 28",3月28日,LAD,St. Louis CardinalsSTLW,カージナルス,W,7,1,,Tied,Glasnow,Mikolas,Yarbrough,2:23,"52,667",+,31,10,2,0,2,7,,3月28日,Ohtani,STLSTL,W,3,2,1,0,0,0,1,0,1,0,0,2指,右二,四球,右安,空振,,,
4,"Friday, Mar 29",3月29日,LAD,St. Louis CardinalsSTLW,カージナルス,W,6,3,,Tied,Miller,Thompson,Phillips,2:23,"47,524",++,30,7,1,0,4,6,,3月29日,Ohtani,STLSTL,W,4,0,0,0,0,0,0,0,1,0,0,2指,二直,左飛,二併,空振,,,
5,"Saturday, Mar 30",3月30日,LAD,St. Louis CardinalsSTLL,カージナルス,L,5,6,10,Tied,Helsley,Hurt,Gallegos,3:17,"45,019",-,43,14,1,0,1,5,,3月30日,Ohtani,STLSTL,L,5,1,0,0,0,0,1,0,2,0,0,2指,右安,空振,四球,右飛,空振,遊飛,
6,"Sunday, Mar 31",3月31日,LAD,St. Louis CardinalsSTLW,カージナルス,W,5,4,,Tied,Crismatt,King,Hudson,2:41,"41,014",+,30,8,2,0,2,5,,3月31日,Ohtani,STLSTL,W,4,1,1,0,0,0,0,0,2,0,0,2指,三振,空振,右2,投ゴ,,,
7,"Monday, Apr 1",4月1日,LAD,San Francisco GiantsSFW,ジャイアンツ,W,8,3,,up 1.0,Paxton,Winn,,2:38,"49,044",++,32,9,3,1,1,8,,4月1日,Ohtani,SFGSFG,W,4,1,1,0,0,1,0,0,1,0,0,2指,二ゴ,右2,左飛,空振,,,
8,"Tuesday, Apr 2",4月2日,LAD,San Francisco GiantsSFW,ジャイアンツ,W,5,4,,up 1.0,Yarbrough,Webb,Phillips,2:57,"49,365",+++,32,9,3,0,1,5,,4月2日,Ohtani,SFGSFG,W,3,0,0,0,0,0,1,0,1,0,0,2指,三振,中飛,四球,ニゴ,,,
9,"Wednesday, Apr 3",4月3日,LAD,San Francisco GiantsSFW,ジャイアンツ,W,5,4,,up 2.0,Glasnow,Harrison,Lamet,2:25,"52,746",++++,30,9,1,0,2,5,,4月3日,Ohtani,SFGSFG,W,4,2,0,0,1,1,0,0,1,0,0,2指,空振,一安,左直,右本,,,
10,"Friday, Apr 5",4月5日,LAD,Chicago Cubs@CHCL,カブス,L,7,9,,up 2.0,Smyly,Miller,Alzolay,2:57,"34,981",-,39,12,3,0,1,7,,4月5日,Ohtani,CHCCHC,L,5,2,1,0,1,2,0,0,0,0,0,2指,左2,一ゴ,右本,中直,中飛,,
