試合数,日付,対戦相手,W/L,打席数,ヒット,2塁打,３塁打,ホームラン,打点,四球,デッドボール,三振,盗塁,盗塁失敗,打順,第1,第2,第3,第4,第5,第6,第7
2,3月21日,パドレス,L,5,1,0,0,0,1,0,0,0,0,0,2指,右安,右犠,投ゴ,右直,右飛,一ゴ,該当なし
5,3月30日,カージナルス,L,5,1,0,0,0,0,1,0,2,0,0,2指,右安,空振,四球,右飛,空振,遊飛,該当なし
10,4月5日,カブス,L,5,2,1,0,1,2,0,0,0,0,0,2指,左2,一ゴ,右本,中直,中飛,該当なし,該当なし
12,4月7日,カブス,L,4,2,1,1,0,1,0,0,1,0,0,2指,空振,三邪,右3,中2,該当なし,該当なし,該当なし
15,4月10日,ツインズ,L,3,1,0,0,0,0,1,0,0,0,0,2指,四球,左飛,右安,二ゴ,該当なし,該当なし,該当なし
16,4月12日,パドレス,L,5,3,2,0,1,1,0,0,0,0,0,2指,中本,中直,左2,右2,中直,該当なし,該当なし
18,4月14日,パドレス,L,4,1,0,0,0,0,0,0,2,0,0,2指,空振,三飛,空振,中安,該当なし,該当なし,該当なし
19,4月15日,ナショナルズ,L,3,1,0,0,0,0,0,0,1,1,0,2指,右安,空振,打妨,中直,該当なし,該当なし,該当なし
21,4月17日,ナショナルズ,L,4,3,0,0,0,0,0,0,0,1,0,2指,右安,左飛,右安,中安,該当なし,該当なし,該当なし
22,4月19日,メッツ,L,4,1,0,0,0,1,1,0,1,1,0,2指,ニゴ,四球,右安,空振,ニゴ,該当なし,該当なし
23,4月20日,メッツ,L,2,1,1,0,0,0,3,0,1,0,0,2指,四球,四球,右2,空振,四球,該当なし,該当なし
30,4月28日,ブルージェイズ,L,4,0,0,0,0,0,0,0,1,0,0,2指,中飛,二直,三振,二飛,該当なし,該当なし,該当なし
42,5月12日,パドレス,L,0,0,0,0,0,0,0,0,0,0,0,該当なし,該当なし,該当なし,該当なし,該当なし,該当なし,該当なし,該当なし
45,5月15日,ジャイアンツ,L,4,2,0,0,0,0,1,0,2,0,0,2指,四球,三振,中安,三振,左安,該当なし,該当なし
46,5月16日,レッズ,L,2,0,0,0,0,0,1,0,1,1,0,2指,四球,邪飛,空振,該当なし,該当なし,該当なし,該当なし
51,5月21日,ダイヤモンドバックス,L,4,2,1,0,0,1,0,0,1,2,0,2指,空振,左2,右安,右飛,該当なし,該当なし,該当なし
52,5月22日,ダイヤモンドバックス,L,4,1,0,0,0,0,0,0,0,0,0,2指,左安,二ゴ,中飛,一ゴ,該当なし,該当なし,該当なし
53,5月24日,レッズ,L,5,0,0,0,0,1,0,0,0,0,0,2指,三ゴ,遊ゴ,遊ゴ,遊飛,遊飛,該当なし,該当なし
54,5月25日,レッズ,L,4,1,0,1,0,0,0,0,3,0,0,2指,三振,空振,右3,空振,該当なし,該当なし,該当なし
55,5月26日,レッズ,L,4,1,0,0,0,0,0,0,1,0,0,2指,二ゴ,二ゴ,空振,一安,該当なし,該当なし,該当なし
59,5月31日,ロッキーズ,L,3,0,0,0,0,0,1,0,1,0,0,2指,二ゴ,二直,空振,四球,該当なし,該当なし,該当なし
62,6月4日,パイレーツ,L,4,1,0,0,0,0,0,0,2,0,0,2指,空振,遊併,空振,中安,該当なし,該当なし,該当なし
63,6月5日,パイレーツ,L,5,2,0,0,1,2,0,0,2,0,0,2指,空振,中本,右安,空振,右飛,該当なし,該当なし
67,6月9日,ヤンキース,L,4,1,1,0,0,0,0,0,0,0,0,2指,中飛,右直,左飛,左2,該当なし,該当なし,該当なし
69,6月12日,レンジャーズ,L,4,1,0,0,1,1,0,0,1,0,0,2指,右本,右直,中飛,空振,該当なし,該当なし,該当なし
70,6月13日,レンジャーズ,L,4,0,0,0,0,0,0,0,1,0,0,2指,二ゴ,左直,二ゴ,空振,該当なし,該当なし,該当なし
72,6月15日,ロイヤルズ,L,3,0,0,0,0,0,1,0,0,0,0,2指,二併,ニゴ,一ゴ,四球,該当なし,該当なし,該当なし
78,6月21日,エンゼルス,L,2,2,0,0,1,2,2,0,0,0,1,1指,四球,四球,中本,投安,該当なし,該当なし,該当なし
85,6月30日,ジャイアンツ,L,5,0,0,0,0,0,0,0,3,0,0,1指,一ゴ,空振,空振,右飛,空振,該当なし,該当なし
87,7月3日,ダイヤモンドバックス,L,4,1,0,0,0,0,0,0,1,0,0,1指,中安,空振,右直,中飛,該当なし,該当なし,該当なし
88,7月4日,ダイヤモンドバックス,L,3,0,0,0,0,0,1,0,3,1,0,1指,四球,空振,三振,空振,該当なし,該当なし,該当なし
91,7月7日,ブリュワーズ,L,5,1,0,0,0,0,0,0,2,2,0,1指,二ゴ,中安,二ゴ,見振,空振,該当なし,該当なし
92,7月9日,フィリーズ,L,2,1,0,0,0,0,1,0,1,1,0,1指,空振,左安,四球,該当なし,該当なし,該当なし,該当なし
93,7月10日,フィリーズ,L,4,2,0,0,0,1,0,0,1,1,0,1指,右安,遊ゴ,中安,空振,該当なし,該当なし,該当なし
94,7月11日,フィリーズ,L,4,0,0,0,0,0,0,0,2,0,0,1指,右飛,空振,空振,ニゴ,該当なし,該当なし,該当なし
103,7月24日,ジャイアンツ,L,4,0,0,0,0,0,0,0,3,0,0,1指,左飛,空振,空振,三振,該当なし,該当なし,該当なし
105,7月26日,アストロズ,L,3,2,1,0,0,0,1,0,0,1,0,1指,中2,左直,四球,中安,該当なし,該当なし,該当なし
109,7月31日,パドレス,L,3,0,0,0,0,0,1,0,0,0,0,1指,ニゴ,四球,ニゴ,ニ直,該当なし,該当なし,該当なし
110,8月2日,アスレチックス,L,5,1,0,0,1,3,0,0,0,0,0,1指,中飛,中飛,三飛,一ゴ,右本,該当なし,該当なし
114,8月6日,フィリーズ,L,4,0,0,0,0,0,0,0,0,0,0,1指,二ゴ,左飛,二直,右飛,該当なし,該当なし,該当なし
115,8月7日,フィリーズ,L,5,0,0,0,0,0,0,0,0,0,0,1指,二ゴ,一ゴ,二飛,遊ゴ,三邪,該当なし,該当なし
121,8月14日,ブリュワーズ,L,4,0,0,0,0,0,1,0,1,2,0,1指,三失,四球,左直,三振,左飛,該当なし,該当なし
122,8月15日,ブリュワーズ,L,5,1,0,0,0,0,0,0,1,0,0,1指,左飛,一ゴ,右安,中直,三振,該当なし,該当なし
124,8月17日,カージナルス,L,3,1,0,0,1,1,1,0,1,2,0,1指,四球,振逃,右本,左飛,該当なし,該当なし,該当なし
130,8月24日,レイズ,L,4,2,0,0,1,2,0,0,0,0,0,1指,右安,打妨,右本,左飛,右飛,該当なし,該当なし
132,8月27日,オリオールズ,L,4,2,0,0,0,0,0,0,1,0,0,1指,右安,中安,三飛,三振,該当なし,該当なし,該当なし
137,9月1日,ダイヤモンドバックス,L,4,0,0,0,0,0,0,0,3,0,0,1指,空振,空振,三邪,三振,該当なし,該当なし,該当なし
