title,body,date
いいロケーション,日本酒の品揃えが素晴らしいです。特に県外産のもののレベルの高さは秀逸です。料理は凝っているかもしれませんが、少し時間がかかるのが難点です。店主の主張があえば良店ですが、あわないと不快になるかもしれません。好みが分かれるお店かもしれません。,2016-06-01 
温泉,出張で利用しました。秋田駅からは少しはなれていますが、飲み屋街のそばで飲食店には困らない立地でした。敷地に立体駐車場があり、冬場でしたので非常に助かりました。外来入浴のお客さんも多いようです。温泉はけっこう広く、あったまって冬の旅にはとてもよかったです。,2012-02-01 
上級ビジネスホテルといった感じ,周囲のビジネスホテルに比べ千円以上高いがそれに見合う高級感がある。ロビーに無料で使用できるパソコンが設置されているのもポイントが高い。客室はシンプルな中にも気品ある雰囲気。駅から裏道に一本入るためアクセスは星一つ減としました。,2011-08-01 
手ごろな価格で清潔・安心なホテルです,リッチモンドホテルならではの清潔できれいな客室が、早期予約で手ごろな価格で止まることができました。秋田駅からペデストリアンデッキとアーケードを通って、新幹線の改札から徒歩4，5分。アーケードを抜けてから1，2分ですので雨でもほとんどぬれずに到着できます。ロビー、エレベータも広くてきれいでつか安い。自動支払いシステムですが、案内も的確で分かりやすかったです。手ごろな価格で広めの客室に泊まりたい方にはお勧めできます。,2014-04-01 
駅から近くすぐ分かる,一人旅の素泊まり3700円にて一泊しました。駅から目に入りやすい、すぐ確認できる場所だったので迷うこともなく行けました。フロントの接客もスムーズで良い感じでした。部屋は清潔な感じでバスルームも広めですごく満足できました。,2014-03-01 
美しい森林地帯を行く,秋田県の内陸部、鷹ノ巣と角館を結ぶ山間の路線です。とくに国鉄阿仁合線だった区間は、駅舎や構内に国鉄時代の雰囲気がよく残っています。合川や米内沢は下車してみたい駅だと思います。写真は中心駅である阿仁合駅です。,2015-10-01 
駅弁の域は出ていないかなあと思いました。,ここは鶏めし弁当＠850円が超人気商品。駅弁なんですが、圧倒的な支持を受けていて、ネットでもたくさん情報が出ています。ということで、私も買っていただきました。鶏肉がしっかりしていて、噛むと肉のうま味がしっかり感じられるような。ただ、期待が高かった分、評価が厳しくなってしまうのですが、駅弁の域は出ていないかなあと思いました。,2013-10-01 
ザ・秘湯の御宿,豪雪の日に宿泊しました。雪見の露天風呂は最高です。自然の中にいくつか露天があり、夜の時間帯は場所がら宿泊客のみのせいか貸切状態になりゆったりお風呂に入れました。雪の中裸・はだしで出て行くのが少し勇気が要りますがそれがまたいい思い出です。,2012-12-01 
地産の野菜が安い,すべての建造物・テーブル・椅子が木でつくられており、木のぬくもりが感じられる施設です。この辺りは杉の多い山里という感じです。物産館では地元の野菜が安く売られていて、たくさん買ってしまいました。横手は果樹園が多いようで、この時期はぶどうがたくさん見られました。,2015-09-01 
なまはげがいっぱい,館内は、なまはげでいっぱいです。なまはげ伝承ホールでは、大晦日の男鹿のなまはげ行事を15分間の映像で紹介しています。開館時間の毎時　00分～15分、30分～45分です。なまはげのお面や衣装を着て、無料で記念撮影ができます。なまはげ関連の品々を売っています。ここを一通り見学するとなまはげ通になれるかも。,2013-08-01 
パンケーキが食べられるレストラン,秋田駅からぶらぶら歩くと7，8分。千秋公園の向かい側にあります。地元では，昔からある老舗ホテルで皇室の方々も宿泊されることで有名。館内はすっかりクリニックだらけになってしまいましたが，レストランは和・洋・中あって，ランチや宴会でよく利用します。1階のカフェ「キャッスルハウス」にパンケーキ登場・・・ということでさっそく行ってみました。ハワイアンパンケーキは，マカダミアナッツソースがかかっていて，800円。たっぷり果実のパンケーキは，いろいろなフルーツがのっていて，950円。本場ハワイのパンケーキ・・・とまではいきませんが，おいしかったです。宿泊の際は，朝7時から朝食も食べられるようです。,2013-07-01 
晴れれば絶景☆スニーカーで行こう,鉾立ビジターセンターから5分くらいです。舗装された道ですが、ハイヒールでは大変危険なのでスニーカーで出かけましょう。車でひょいと来ると、地上との温度差にびっくりします。凍えている方が見受けられたので、上着もお忘れなく！滝も見えて、晴れれば大変素適な観光スポットだと思います☆,2013-08-01 
たそがれ清兵衛,角館のメインストリートである武家屋敷通りと桧木内川側に並行した通りに面して映画「たそがれ清兵衛」の撮影に使われた松本家があります。青柳家や石黒家の様な立派な屋敷ではありませんが、茅葺きの小さな柴垣で囲まれた屋敷は昔の下級武士の実生活が伺えます。,2014-04-01 
４月でも十分な雪量,たざわ湖スキー場周辺へは観光で訪れたのですが、４月上旬の平日でしたのでスキー場は休業していたようです。もちろん滑っている人はいませんでした。乳頭温泉方面からスキー場へもバスは止まるのですが、この時期でも雪量は十分ありまだまだ滑れる事がわかります。スキー場全体下部方面しか見えませんでしたが右側のコースは急斜面のようでした。４月はまだまだ冬ですね。,2013-04-01 
黄金のたつこ像はライトアップで,田沢湖のシンボルの一つ「たつこ像」はＨエルミラドール（旧田沢湖ﾌﾟﾘﾝｽホテル）から歩いて5分、昼間に見るよりライトアップのほうがより金色に見える。デンマークの人魚姫は”世界三大ガッカリ”と言われるが、こちらもそれに近い。,2010-10-01 
大自然と天然温泉を堪能,観光旅行の際に利用しました。大自然と天然温泉を堪能する事が出来ました。和室の広い部屋で、備品やアメニティーなどの種類が豊富にあるのが良いと思います。ルームサービスオススメです。大浴場で疲れを癒せます。観光旅行利用にオススメ,2015-05-01 
美味しい二八、香り高い十割,収穫の季節の関係で残念ながらこちらで栽培している「あかそば」は食べられなかったが、二人で「二八」と「十割」のもりそばを。それぞれ5～600円台、食べ物の美味しい角館を散策するには量と値段がいいバランス、そして美味しい。特に「十割」はぜひ少しのわさびでそばだけ食べてみたい、口の中に広がるそばの強烈な風味は素晴らしい。そして蕎麦湯のトロ～ッとした濃いめの味わいは特筆モノ。,2013-06-01 
